,Borehole ID,Latitude,Longitude,Elevation (ft),In-situ Test #,Test Elevation (ft),SPTN,Layer #,Layer Top Elevation (ft),Layer Bottom Elevation (ft),Soil Description,USCS,Lithology,Density / Consistency
0,21,47.56843598,-122.4074796,77.3,1,77.3,3.0,1,77.3,75.8,"Grayish brown, dry, very loose, well graded sand with trace silt.",SW,Fill,Very loose
1,21,47.56843598,-122.4074796,77.3,2,75.8,12.0,2,75.8,70.3,"Clay, medium gray, stiff, slightly moist, with some rootlets and organic staining.",CL,Clay,Stiff
2,21,47.56843598,-122.4074796,77.3,3,74.3,8.0,2,75.8,70.3,"Clay, medium gray, stiff, slightly moist, with some rootlets and organic staining.",CL,Clay,Medium
3,21,47.56843598,-122.4074796,77.3,4,73.3,7.0,2,75.8,70.3,"Clay, medium gray, stiff, slightly moist, with some rootlets and organic staining.",CL,Clay,Medium
4,21,47.56843598,-122.4074796,77.3,5,71.8,7.0,2,75.8,70.3,"Clay, medium gray, stiff, slightly moist, with some rootlets and organic staining.",CL,Clay,Medium
5,21,47.56843598,-122.4074796,77.3,6,70.3,6.0,3,70.3,68.8,"Sandy silt, brown, medium stiff, wet, over sandy clay, mottled brown, medium stiff, with minor gravel.",ML-CL,Sandy silt,Medium
6,21,47.56843598,-122.4074796,77.3,7,68.8,5.0,4,68.8,67.8,"Sand, rust brown to brown, loose, wet, with minor silt.",SP,Sand,Loose
7,21,47.56843598,-122.4074796,77.3,8,67.8,6.0,5,67.8,66.8,"Sand, rust brown, loose, moist, some oxidation over clayey silt, gray medium stiff, moist.",SP-ML,Sand,Loose
8,21,47.56843598,-122.4074796,77.3,9,66.8,16.0,6,66.8,65.3,"Sandy silt, mottled gray and rusty brown, very stiff, moist, over sand, brown, medium dense, moist, poorly graded, fine grained.",ML-SP,Sandy silt,Medium
9,21,47.56843598,-122.4074796,77.3,10,65.3,37.0,7,65.3,63.8,"Sand, brown, dense, moist to wet, well graded with minor gravel.",SW,Sand,Dense
10,21,47.56843598,-122.4074796,77.3,11,63.8,31.0,8,63.8,62.3,"Clayey silt, mottled rust brown and brown, grading to gray below 14 ft, with trace fine sand, moist, hard, and weakly bedded.",ML,Clayey silt,Hard
11,24,47.54644575,-122.3973182,183.3,1,180.3,4.0,2,182.3,178.8,"Brown to light brown, silty, fine to medium sand, some gravel, moist, loose.",SM,Silty sand,Very loose
12,24,47.54644575,-122.3973182,183.3,2,178.3,13.0,3,178.8,167.3,"Brown, silty, fine to medium sand, some gravel to gravelly, medium to coarse sand lenses, very moist, medium-dense.",SM,Silty sand,Medium
